bin_timestamp,num_tr,target_ix,target_no_ix,no_target_ix,no_target_no_ix,target_ix_rtt_count,target_ix_rtt_avg,target_no_ix_rtt_count,target_no_ix_rtt_avg
1700685000,43919,32234,11386,73,226,32222,83.06484991150464,11386,75.67946316876969
1700685900,43915,32325,11314,40,236,32321,81.96197166109425,11313,72.50831476423133
1700686800,43919,31724,11735,38,422,31715,83.13879268938811,11735,71.64363877695938
1700687700,43854,31780,11790,32,252,31778,82.97451685074935,11789,73.35818012875166
1700688600,43918,31869,11753,34,262,31857,81.72861828500956,11753,71.83056456608631
1700689500,46932,34898,11743,35,256,34896,77.53881810595854,11743,70.57237198886507
1700690400,43992,32214,11483,34,261,32202,82.5055040160411,11483,71.54760318235277
1700691300,44090,32205,11608,29,248,32202,80.61268963512482,11608,69.5626774802271
1700692200,43957,32304,11471,17,165,32291,81.99518987025775,11469,72.25562358411644
1700693100,44095,32434,11485,18,158,32428,81.14623555587674,11485,70.93638905460723
1700694000,43976,32633,11166,8,169,32622,82.48674541282904,11166,71.83544997218918
1700694900,43889,32952,10781,11,145,32948,80.43852396131109,10781,70.71868561323033
1700695800,43870,33944,9775,9,142,33933,81.0679880173721,9775,69.44503100426253
1700696700,46937,36680,10027,20,210,36677,76.68155132402819,10027,68.50035470895254
1700697600,42403,33197,9046,10,150,33184,85.75522959905433,9046,72.19256001179153
1700698500,43901,33681,10042,13,165,33678,80.43589522349522,10042,68.14057852021531
1700699400,43900,33615,10113,7,165,33601,81.5703996143897,10106,71.62128222508031
1700700300,44061,33677,10217,9,158,33674,80.60312712193344,10217,70.36977277087172
1700701200,43987,33802,10017,7,161,33790,81.37180491645867,10016,70.28302575046615
1700702100,44018,34103,9745,10,160,34100,84.45348961540266,9745,71.33581877886115
1700703000,43975,34138,9676,8,153,34127,79.79996846868126,9676,69.56448104071933
1700703900,46956,37305,9489,10,152,37303,77.42721662735475,9489,72.05454496434457
1700704800,44022,34836,9025,11,150,34824,80.94318074829522,9025,68.65668740535499
1700705700,43950,35048,8738,19,145,35046,80.21676228483251,8738,65.48662304493764
1700706600,43947,34959,8729,95,164,34947,81.44559569207827,8729,66.3599097223813
1700707500,44047,35123,8753,20,151,35120,80.84161197004703,8753,66.56608229559365
1700708400,44010,35075,8759,20,156,35062,81.94081491090469,8759,69.13625359059245
1700709300,43910,34989,8739,21,161,34956,81.67649096878604,8735,67.23559906506378
1700710200,43984,35071,8738,17,158,35059,81.58335678060634,8738,66.12418631265754
1700711100,46984,37785,9007,19,173,37781,77.34240777571263,9006,66.64043340550737
