asn,count,cc
271869,1,CL
271870,1,CO
271871,1,FR
271872,1,CL
271873,1,EC
271874,2,EC;MU
271876,1,PE
271877,1,CO
271878,1,AR
271879,1,AR
271880,1,VE
271881,1,AR
271882,1,EC
271883,1,AR
271884,1,VE
271885,1,GT
271886,1,AR
271887,1,AR
271888,1,AR
271891,1,CR
271892,1,AR
271893,1,CL
271894,1,CL
271895,1,CL
271896,2,CL;US
271897,1,HT
271898,1,DO
271899,2,US;VE
271900,2,PE;US
271901,1,CO
271902,1,AR
271903,1,CO
271904,2,AR;VE
271906,1,BO
271907,2,US;VE
271908,1,CO
271909,1,VE
271911,1,EC
271915,2,CL;US
271916,2,DO;MU
271917,2,US;VE
271918,1,CO
271919,1,EC
271920,1,VE
271922,1,AR
271923,1,EC
271924,1,US
271925,1,CO
271926,1,AR
271927,2,CO;MX
271929,1,EC
271930,4,AE;DO;SC;US
271931,2,DO;US
271932,3,DO;GB;US
271933,1,EC
271934,2,DO;US
271935,1,DO
271936,1,EC
271938,1,NI
271939,2,US;VE
271940,1,DO
271941,2,EC;US
271942,4,AE;AR;DO;US
271943,1,DO
271944,1,AR
271945,1,DO
271948,1,SV
271949,1,AR
271950,2,DO;US
271952,1,AR
271956,2,AE;DO
271957,2,CO;US
271958,1,CO
271959,1,DO
271960,2,AE;CR
271962,1,PE
271963,1,CO
271965,3,AE;DO;PK
271967,1,EC
271968,1,DO
271969,1,PY
271970,1,AR
271971,1,HN
271973,1,AR
271975,1,EC
271977,1,EC
271978,2,AE;DO
271979,1,AE
271980,1,AR
271982,1,DO
271984,1,AR
271985,1,AR
271986,1,US
271987,1,BO
271988,2,DO;US
271991,1,AR
271992,1,CO
271995,1,CO
271996,2,AE;DO
271997,2,AR;CL
271998,1,CO
272000,1,US
272004,2,PE;US
272005,2,AR;US
272006,1,AR
272008,1,PE
272009,1,HN
272010,1,AR
272011,2,CA;US
272013,1,GT
272015,3,AE;DO;US
272018,1,SC
272019,1,EC
272021,2,BR;PY
272024,1,CO
272025,1,CL
272026,1,PY
272027,1,LT
272028,1,CL
272030,1,AR
272031,1,CL
272032,1,EC
272033,1,PE
272034,1,EC
272035,1,AR
272036,1,BO
272037,1,PA
272038,1,AR
272039,1,AR
272040,1,US
272041,1,BO
272042,1,AR
272043,2,CO;PR
272045,1,AE
272046,1,AR
272048,1,VE
272053,1,AR
272054,2,DO;US
272055,2,DO;US
272057,1,DO
272059,1,PE
272060,1,CO
272061,1,GT
272062,1,PY
272063,1,VE
272064,1,AR
272067,1,EC
272068,1,AR
272070,1,SV
272072,1,CO
272073,2,DO;SC
272076,1,CO
272079,1,CO
272080,1,EC
272081,1,VE
272083,2,DO;US
272084,1,CO
272086,1,CO
272092,1,SC
272094,1,EC
272097,2,EC;US
272099,1,PY
272100,2,AR;VE
272101,1,US
272102,2,MU;US
272104,2,PE;US
272107,1,AR
272109,2,PA;US
272110,2,IR;US
272111,1,MU
272112,2,DO;US
272113,1,AR
272114,1,AR
272115,1,CO
272116,1,AR
272119,1,US
272120,2,DO;US
272121,1,EC
272122,1,US
272123,1,DO
272124,1,US
272129,1,CO
272130,1,GT
272131,1,AR
272132,2,DO;US
272134,1,VE
272136,1,SR
272138,2,DO;US
272139,1,CO
272141,1,PE
272144,1,CL
272145,1,AR
272146,1,CO
272147,1,EC
272148,1,AE
272149,1,US
272150,1,AR
272153,1,CO
272154,1,PY
272155,1,AR
272156,1,CO
272157,1,BR
272158,1,BR
272161,1,BR
272162,1,BR
272163,1,BR
272164,1,BR
272165,1,BR
272166,1,BR
272167,1,BR
272168,1,BR
272169,1,BR
272171,1,BR
272172,1,BR
272174,1,BR
272176,1,BR
272179,1,BR
272180,1,BR
272181,1,BR
272182,1,BR
272183,1,BR
272184,1,BR
272185,1,BR
272187,1,BR
272190,1,BR
272191,1,BR
272192,1,BR
272193,1,BR
272194,1,BR
272195,2,BR;US
272197,1,BR
272198,1,BR
272199,1,BR
272200,1,BR
272201,1,BR
272202,1,BR
272203,1,BR
272205,1,BR
272207,1,BR
272209,1,BR
272210,1,BR
272211,1,BR
272212,1,BR
272213,2,BR;US
272215,1,BR
272216,1,BR
272217,1,BR
272218,1,BR
272220,1,BR
272221,1,BR
272225,1,BR
272226,1,BR
272228,1,BR
272229,1,BR
272230,1,BR
272232,1,BR
272233,1,BR
272234,1,BR
272236,1,BR
272238,1,BR
272241,1,BR
272242,1,BR
272243,1,BR
272244,1,BR
272245,1,BR
272246,1,BR
272248,1,BR
272249,1,BR
272250,1,BR
272251,1,BR
272252,1,BR
272253,1,BR
272254,1,BR
272257,1,BR
272259,1,BR
272260,1,BR
272261,1,BR
272262,1,BR
272263,1,BR
272265,1,BR
272266,2,BR;US
